time,progress,rapid_exp,fan,girl,ceo
1:14:27,29,19,5264927.0,74,24
0:28:11,70,19,9967442.0,106,41
1:30:39,15,19,4775368.0,41,21
1:18:30,25,19,5798084.0,45,25
0:18:17,82,19,12000000.0,55,27
0:08:26,91,19,12000000.0,60,24
2:10:02,2,19,3127544.0,5,5
1:03:02,35,23,11939004.0,47,31
0:13:41,86,23,11525191.0,54,34
1:19:21,29,23,5760948.0,33,13
0:25:20,74,23,11617476.0,55,27
1:09:37,30,31,10914556.0,39,23
0:56:03,42,31,11760821.0,55,30
0:35:23,63,31,11754560.0,60,35
0:40:15,58,35,11313243.0,40,29
